                                                                 :*%%####%%%@%%%*:                                      
                                                                =%@@@@@@@@%@@@%@@%#*.                                   
                                                              -#@@%%@%%%%%@@@@@%%@@@%*+                                 
                                                              =%%%%%%%%%@@@%%%@@@%%%@@=:                                
                                                    -=:.      -%@%%%%%%%@@@%%%@@@%%%%##=                                
  :.                                               +@@@%%#*-   =%@%%%%%%%%%%%%@@@%%@%@@:                                
 =%=                                              -@%%%@@@@@%+.=%%%%%%%%%%%%%%%%%@@%%#:                                 
=@@*                                              :-%%%%%%%%@@%#@%%%%@@@%%%%%%%%%@@%%#          .:---                   
%%%#-                                               -@@@@@@%%%@@%%%%%@@@%%%%%%%%%@@@%@+  .:--===++#@@%=                 
%%%@@*.                                              =#%%%%%%%%%%%%%%@@@%%%%%%%%%%%%%%%+++++==---::::.                  
%%@%%@%=                                               .=*#%%%%%%%%%%@@@%%%%%%%%%%@%%@+--::..                           
@@@%%%%@#*+=                                         .*%%@@%%%%%%%%%%%%%%%%%%%%%%@%%@=                                  
%%%%%%%%@@%-                                         :@%%%@@%%%@@@%%%%%%%%%%%%@@@@@@=                                   
%%%%%%%%%%.                       ..::..       .:-=++*%@@@%@%%%@@@%%%%%%%%%%%%@@@%%+                                    
%%%%%%%%%%.                    .-*%%@@@%*==+**##***+=--:+%%%%%%%%%%%%%%%%%%%%%@@@%%=:                                   
%%%%%%%%%@+                   -*@%@@@%@@@@%+--:..      :+%%%%%%%%%%%%%%%%%%%%%%%%@@@@=                                  
%%%%%%%%%%%-                  .:-+##%@%%%%%#+       -*%@@@%%%%%%%%%%%%%%%%%%%%%%%@%%%+                                  
%%%%%%%%%%%@*-                      -#%%%%%@@+     :#@@%%%%%%%%%%%%%%%%%%%%%%%%%%@@%%*                                  
%%%%%%%%%@%%@#-                     .+@@%%@%%@=   :*%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%@=                                  
%%%%%%%%%%%%*=:                       -#@%%@%%@+:*%@@%%%%@@@@%%%%%%%%%%%%%%%%%%%%@@@+                                   
%%%%%%%%%#**:                          .+%@%%%%@%@@%%%%@@*=+#@%%%%%%%%%%%%%%%%%%@%=:                                    
%%%%%%%%%@%%#.                           =%@%%%%@%%%@@@*:  :%@%@@@%%%%%%%%%%%%%%%:                                      
%%%%%%%@%@@+                              -%@@%%%@@@%*:    =%%%@@@%%%@@@@@@@@@%@+                                       
%%%%%%@%@#-                                -#%@@@%*=.      +@%%%%%%%%@@@@@@@@@%@:                                       
%%%%%%%%*                                    ..:.         .*@%@%%%%%%%%%@@@%%%@#                                        
%%%%%%%@:                                                 .#@%@%%%%%%%%%@@@%%%%-                                        
%%%%%%%@-                                                 :%@%@%%%%%%%%%%%%%%%@-                                        
%%%%%%%%%.                                                -%%%@%%%%%%%%%%%%%%@@-                                        
@@@%%%%%@#                                                =@@%@%%%%%%%%%%%%%%+.                                         
@@@%%%%%%@*                                                -#%%%%%%%%%%%%%%%@*                                          
@@@@@@%%%**:                                                +@%%%%%%%%%%@@@%%%+.                                        
@@@@@@%%%=                                                 :#%%%%%%%%%%%@@@@%@@%-                                       
%%%%%%@%@%-                                               :%@%%%%%%%%%%%@@@@@@%%@=                                      
%%%%%%%%%%@=                                              *@%@@%%%%%%%%%%%%%%%@%%@-                                     
%%%%%%%%%%%@:                                            -%%%@@%%%%%%@@@%%%%%%%@%%%:                                    
%%%%%%%%%%%@*                                            +@%%%%%%%%%%@@@%%%%%%%%%%%%.                                   
%%%%%%%%%%%%%.                                          .#@%%%%%%%%%%%%%%%%@@@%%%@%@*                                   
%%%%%%%%%%%%@=                                          -%@%%%%%%%%%%%%%%%%@@@%%%@@%@+                                  
%%%%%%%%%%%%@#                                          +@%%%%%%%%%%%%%%%%%@@@%%%@@@%@=                                 
%%%%%%%%%%%%%@-                                        .#@%%%%%%%%%%%@@@%%%%%%%%%%%%%%@=                                
%%%%%%%%%%%%%%%                                        -%%%%%%%%%%%%%@@@%%%%%%%%%%%%@%%@=                               
%%%%%%%%%%%%%%@+                                       *@%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%@+                              
%%%@@@%%%%%%%%%@:                                     :%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%@#:                            
%%%@@@%%%%%%%%%%#                                     *@%%%%%%%%%%@@@%%%%%%%%%%%%%%%%%%%%%@%=                           
%%%@@@%%%%%%%%%%@=                                   :%%%%%%%%%%%%@@@%%%%%%%%%%%%%%%%%%%%%%%@*                          
